Onda-Cinematica	115	67.61	0.005	45.36	0.3	0.05	2.5	5	10
Onda-Cinematica	116	65.73	0.010	45.92	0.3	0.05	2.5	5	10
Onda-Cinematica	117	69.92	0.013	45.92	0.3	0.05	2.5	4.5	10
Onda-Cinematica	118	59.45	0.006	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	119	55.48	0.007	43.12	0.3	0.05	2.5	5	10
Onda-Cinematica	120	70.30	0.001	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	121	55.46	0.012	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	122	66.64	0.014	39.20	0.3	0.05	2.5	4.5	10
Onda-Cinematica	123	54.80	0.011	42.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	124	50.92	0.006	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	125	55.49	0.008	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	126	94.73	0.012	48.72	0.3	0.05	2.5	4.5	10
Onda-Cinematica	127	107.39	0.012	49.28	0.3	0.05	2.5	4.5	10
Onda-Cinematica	128	51.74	0.008	45.36	0.3	0.05	2.5	5	10
Onda-Cinematica	129	119.95	0.014	45.92	0.3	0.05	2.5	4.5	10
Onda-Cinematica	130	98.13	0.011	45.92	0.3	0.05	2.5	4.5	10
Onda-Cinematica	131	181.05	0.009	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	132	67.53	0.011	43.12	0.3	0.05	2.5	4.5	10
Onda-Cinematica	133	155.94	0.016	44.80	0.3	0.05	2.5	4.5	10
Onda-Cinematica	134	94.72	0.014	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	135	127.07	0.009	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	136	52.09	0.011	42.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	137	105.08	0.003	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	138	139.56	0.007	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	139	163.06	0.011	16.80	0.4	0.05	2.5	4.5	5
Onda-Cinematica	140	136.90	0.008	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	141	99.91	0.007	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	142	155.05	0.002	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	143	117.68	0.011	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	144	91.86	0.009	50.40	0.2	0.1	2.5	5	15
Onda-Cinematica	145	55.74	0.011	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	146	57.33	0.013	42.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	147	96.21	0.006	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	148	96.06	0.007	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	149	134.55	0.022	53.20	0.2	0.1	1	4	15
Onda-Cinematica	150	45.96	0.008	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	151	72.12	0.004	28.00	0.3	0.05	2.5	5	10
Onda-Cinematica	152	67.70	0.014	44.80	0.3	0.05	2.5	4.5	10
Onda-Cinematica	153	83.30	0.007	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	154	79.47	0.014	42.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	155	96.19	0.010	16.80	0.4	0.05	2.5	4.5	5
Onda-Cinematica	156	104.99	0.003	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	157	93.76	0.007	50.40	0.2	0.1	2.5	5	15
Onda-Cinematica	158	118.83	0.014	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	159	103.54	0.009	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	160	98.71	0.016	44.80	0.3	0.05	2.5	4.5	10
Onda-Cinematica	161	105.18	0.005	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	162	99.47	0.010	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	163	120.02	0.013	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	164	65.52	0.006	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	165	68.46	0.015	44.80	0.3	0.05	2.5	4.5	10
Onda-Cinematica	166	93.30	0.005	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	167	111.28	0.006	50.40	0.2	0.1	2.5	5	15
Onda-Cinematica	168	117.29	0.021	48.72	0.3	0.05	1	4	10
Onda-Cinematica	169	232.96	0.009	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	170	136.77	0.014	46.48	0.3	0.05	2.5	4.5	10
Onda-Cinematica	171	105.11	0.005	45.92	0.3	0.05	2.5	5	10
Onda-Cinematica	172	88.45	0.012	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	173	135.91	0.003	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	174	109.87	0.007	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	175	156.02	0.004	40.32	0.3	0.05	2.5	5	10
Onda-Cinematica	176	107.69	0.009	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	177	100.49	0.016	43.12	0.3	0.05	2.5	4.5	10
Onda-Cinematica	178	109.48	0.009	43.68	0.3	0.05	2.5	5	10
Onda-Cinematica	179	86.41	0.003	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	180	50.39	0.020	42.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	181	109.52	0.015	28.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	182	93.01	0.018	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	183	82.27	0.019	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	184	123.82	0.012	44.80	0.3	0.05	2.5	4.5	10
Onda-Cinematica	185	155.34	0.007	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	186	202.73	0.009	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	187	159.52	0.010	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	188	172.06	0.021	50.40	0.2	0.1	1	4	15
Onda-Cinematica	189	150.87	0.012	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	190	118.06	0.014	44.80	0.3	0.05	2.5	4.5	10
Onda-Cinematica	191	134.46	0.008	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	192	97.07	0.017	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	193	118.71	0.013	48.72	0.3	0.05	2.5	4.5	10
Onda-Cinematica	194	84.78	0.007	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	195	128.66	0.007	46.48	0.3	0.05	2.5	5	10
Onda-Cinematica	196	59.48	0.011	45.92	0.3	0.05	2.5	4.5	10
Onda-Cinematica	197	85.37	0.003	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	198	59.88	0.007	50.40	0.2	0.1	2.5	5	15
Onda-Cinematica	199	60.00	0.004	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	200	127.22	0.014	42.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	201	36.92	0.004	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	202	108.38	0.011	39.20	0.3	0.05	2.5	4.5	10
Onda-Cinematica	203	124.36	0.016	42.00	0.3	0.05	2.5	4.5	10
Onda-Cinematica	204	41.90	0.005	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	205	99.93	0.010	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	206	32.13	0.007	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	207	130.54	0.023	43.68	0.3	0.05	1	4	10
Onda-Cinematica	208	37.72	0.010	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	209	67.96	0.013	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	210	42.50	0.006	45.92	0.3	0.05	2.5	5	10
Onda-Cinematica	211	25.81	0.007	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	212	70.39	0.008	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	213	32.06	0.004	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	214	45.46	0.008	50.40	0.2	0.1	2.5	5	15
Onda-Cinematica	215	28.13	0.010	42.00	0.3	0.05	2.5	4.5	10
